minute,player,heimgast,team
65,Reisinger,Heim,Fortuna Düsseldorf
67,Ujah,Heim,1. FC Köln
12,Benschop,Gast,Fortuna Düsseldorf
37,Benschop,Heim,Fortuna Düsseldorf
9,Lauth,Gast,TSV 1860 München
78,Tomasov,Gast,TSV 1860 München
43,Nemec,Heim,1. FC Union Berlin
56,Nemec,Heim,1. FC Union Berlin
77,Bellinghausen,Gast,Fortuna Düsseldorf
8,Reisinger,Heim,Fortuna Düsseldorf
21,Rahn,Heim,Arminia Bielefeld
29,Hübener,Heim,Arminia Bielefeld
47,Klos,Heim,Arminia Bielefeld
86,Hille,Heim,Arminia Bielefeld
90,Hille,Heim,Arminia Bielefeld
33,Gianniotas,Gast,Fortuna Düsseldorf
18,Fink,Heim,Fortuna Düsseldorf
82,Müller,Gast,Dynamo Dresden
82,Kringe,Heim,FC St. Pauli
47,Bancé,Gast,Fortuna Düsseldorf
52,Benschop,Heim,Fortuna Düsseldorf
55,Benschop,Heim,Fortuna Düsseldorf
15,Trinks,Gast,SpVgg Greuther Fürth
90,Matip,Heim,FC Ingolstadt 04
50,Benschop,Gast,Fortuna Düsseldorf
63,Benschop,Gast,Fortuna Düsseldorf
40,Latka,Heim,Fortuna Düsseldorf
86,Latka,Heim,Fortuna Düsseldorf
28,Saglik,Gast,SC Paderborn 07
45,Saglik,Gast,SC Paderborn 07
63,Saglik,Gast,SC Paderborn 07
70,Saglik,Gast,SC Paderborn 07
76,Kachunga,Gast,SC Paderborn 07
23,Lechleiter,Heim,VfR Aalen
60,Bancé,Heim,Fortuna Düsseldorf
18,Fink,Heim,FC Erzgebirge Aue
37,Janjic,Heim,FC Erzgebirge Aue
52,Kocer,Heim,FC Erzgebirge Aue
28,Alibaz,Gast,Karlsruher SC
71,Peitz,Gast,Karlsruher SC
31,Hoffer,Gast,Fortuna Düsseldorf
7,Affane,Heim,FC Energie Cottbus
11,Hoffer,Gast,Fortuna Düsseldorf
63,Benschop,Gast,Fortuna Düsseldorf
83,Erat,Gast,Fortuna Düsseldorf
55,Hoffer,Heim,Fortuna Düsseldorf
62,Benschop,Heim,Fortuna Düsseldorf
29,Ujah,Gast,1. FC Köln
38,Helmes,Gast,1. FC Köln
75,Ujah,Gast,1. FC Köln
63,Osako,Heim,TSV 1860 München
70,Halloran,Gast,Fortuna Düsseldorf
35,Erat,Heim,Fortuna Düsseldorf
58,Brandy,Gast,1. FC Union Berlin
41,Benschop,Heim,Fortuna Düsseldorf
74,Hoffer,Heim,Fortuna Düsseldorf
55,Ouali,Heim,Dynamo Dresden
90,Latka,Gast,Fortuna Düsseldorf
21,Maier,Gast,FC St. Pauli
90,Thy,Gast,FC St. Pauli
39,Azemi,Heim,SpVgg Greuther Fürth
55,Azemi,Heim,SpVgg Greuther Fürth
65,Brosinski,Heim,SpVgg Greuther Fürth
78,Stieber,Heim,SpVgg Greuther Fürth
66,Benschop,Gast,Fortuna Düsseldorf
53,Meha,Heim,SC Paderborn 07
42,Halloran,Gast,Fortuna Düsseldorf
76,Hoffer,Gast,Fortuna Düsseldorf
44,Halloran,Heim,Fortuna Düsseldorf
65,Benschop,Heim,Fortuna Düsseldorf
74,Golley,Heim,Fortuna Düsseldorf
83,Junglas,Gast,VfR Aalen
3,Halloran,Gast,Fortuna Düsseldorf
9,Liendl,Gast,Fortuna Düsseldorf
51,Liendl,Gast,Fortuna Düsseldorf
35,Hoffer,Heim,Fortuna Düsseldorf
45,Hoffer,Heim,Fortuna Düsseldorf
71,Bolly,Heim,Fortuna Düsseldorf
89,Halloran,Heim,Fortuna Düsseldorf
22,Hennings,Heim,Karlsruher SC
68,Hennings,Heim,Karlsruher SC
18,Hoffer,Gast,Fortuna Düsseldorf
44,Bodzek,Gast,Fortuna Düsseldorf
2,Hoffer,Heim,Fortuna Düsseldorf
9,Halloran,Heim,Fortuna Düsseldorf
69,Liendl,Heim,Fortuna Düsseldorf
87,Benschop,Heim,Fortuna Düsseldorf
33,Matmour,Gast,1. FC Kaiserslautern
40,Idrissou,Gast,1. FC Kaiserslautern
90,Studtrucker,Heim,SC Wiedenbrück
